Tweet,Label
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,0
@user Haha we set then 😂,0
@user @user I didn't know Oprah Winfrey knew how to play tennis. .. 😱,0
@user She is so cute ♡,0
@user you couldn’t catch me letting some saggy whitey bitch talkin like this to me 😫 bitch eat dirt,1
@user tell that to him. He is very perfectionist. I don’t think we will change that ever 😅,0
@user Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟,0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Thank you for adding me Razor!  Patriots- if you aren’t following my Primary account @user - will you take a minute &amp; Follow me? Thanks &amp; MAGA🇺🇸,0
@user The lies i keep hearing everyday sigh *INHALES* IM TIRED OF YOU PUTTING YOURSELF DOWN AND IF PPL DONT SEE HOW BEAUTIFUL MY BESTFRIEND IS THEN ITS THEIR PROBLEM You are beautiful ive seen iT so its my place to tell you you are beautiful and i accept nothing less. If not more 😤,1
@user @user Then we'll be talking about gun control! 😉,0
@user @user Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,1
@user @user you are running scared!🤡,0
"@user @user @user @user @user ...how you want to be defined""""? PUL-EASE! When you live under a 24/7/365 MSMedia SHIT-SMEAR to the point you have Marxine Waters sending her ANTIFA minions out to threaten you in public places - you learn not to give a F*CK what the """"Pavlovian Left"""" thinks. Night, night 🌙!""""",1
@user You are sexy as fuck babygirl🔥🔥🔥,1
@user @user She picks some random conservative issues from US and try to force fit in Indian narrative. Next might be gun control 😭,0
@user @user He is such a showman! And those pipes😍 the man can SING,0
@user @user Can't stand to listen to that puke. I change the channel when he speaks. He believes his own LIES!!....They're all NUTS!! #LeftWingLiberalDisease #WalkAway #VoteRedToSaveAmerica  🇺🇸🇺🇸#MAGA 🇺🇸🇺🇸,1
@user Sad day for all liberals 💃💃💃💃💃💃💃💃💃💃😂😂😂😂😂,0
3. @user You’re my lil baby and I’m so proud of you for working as hard as you do. Thank you for still being there for me like you are. You’re the sweetest 💕💕 don’t ever change,0
@user And god forbid you are already talking to someone or dating they get real mad 😂🤷🏼‍♀️ we like those people over you for a reason sorry bout it 😂,0
@user Nigga then how can you say bo2 is the best Cod 🤨,1
@user @user Corbyn and Abbott won’t get in so the conservatives will win again 👍,0
@user Oh yes 😎,0
@user @user @user 👏WELL👏SAID👏👏👏👏👏👏She gets more negative feedback than anyone ever!! Because she is always defending her BAD BEHAVIOR! Way to show her little girl how to act!👏👏👏👏👏👏,1
@user Brett Kavanaugh was supposed to be a selling point for GOP candidates in the midterm elections. But now he could become a liability...CBS enough of all your BS lies. Go away with your other liberals CNN. MSM. WE ARE NOT LISTENING TO YOUR IGNORANT BS Stories!!! 😡😡😡😡,1
@user @user Christine Ford is an admitted friend to Bernie Saunders and she is Known to Hobnob with other demo politicians! Most shocking word is Kavanaughs mom a Judge ruled against Fords parents in a forclosure case in mid 90s🤔,0
@user Carrey is a pig🤬,1
@user @user @user It’s funny. That comment is 💯 Illogical. WalkAway is so easy. #maga is Great! #MEGA is already happenin Make Earth Great Again,0
@user @user May be the cameramen is a Trump supporter. @user Have you checked if he is standing on a rock or so? LMAO 😂 #FakeNewsCNN,0
@user It's fine..... he's gods Prophet 🙄imagine that nowadays... yes officer i did fuck that elementary student BUT its fine bc god said i could....,0
@user @user Silly Joe! I’m a MAGA Of Society 💯🇺🇸❤️🇺🇸❤️🇺🇸... Feel That👊👊,0
@user Just focus on Price stats when he is behind the plate....😉,0
@user Don’t worry your time will come play hard and listen the coach Frost he is a winner a championship coach🏈,0
@user Yes. You are! 😄 And your passion for him is lovely...😊,0
@user This smells like another funding of George Soros. Follow the money 💴 trail.  That woman most likely never knew Judge Kavanaugh. liberals are running scared because The Judge has conservative Christians values. The man has an impeccable Portfolio. Finestine’s a dirty politician,1
Love our @user #MAGA 🇺🇸❤️,0
@user @user Brilliant effort great step count great that you are targeting more next week 👍,0
"#Tories #Labour #GE2017 #Conservatives Conservatives long-term approach has a number of advantages including the ability to work with our supply chain and landowners to build more homes.  🗨️ Paul Hackett, Chief Executive…",0
@user i feel attacked 😂,0
@user @user @user @user @user @user @user @user @user @user Already Following!! Fantastic MAGA Patriot!!! 🇺🇸❤️🇺🇸,0
@user Nah I’m okay lol I’m going to watch On my block until a new season 😍,0
@user was on 🔥 a brutal match after long time Jeff lost was unexpected. Hope he is fine after the fall❤️😱 #wwe #HIAC,0
@user @user @user @user @user @user @user @user @user @user @user @user Yeah ok antifa lover see you in the streets 😉,0
@user Don’t even know the subject  but I’ll side with Sarandon only because she has class (even if I disagree with her) against the classless rambling fool.  😁,1
@user @user What a waste of one’s short life.🤷🏻‍♂️🇺🇸,1
"Roy Moore"""" """"Allegations From Far Distant Past""""  """"Bezos"""" """"Bunny"""" """"Satire"""" #drellenbrandt #MAGA Dr. Melissa Bunny, via a Medium, tells us from beyond the grave: """"About 35 years ago, Jeff Bezos put his hands on me, cut my head off, and cooked me as hasenpfeffer for dinner."""" 🐇🐇🐇",1
@user @user @user @user You are exposing us 😂😂,0
@user I see you support gun control 😀,1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user I am a Warrior to Many Gardens💕But without my Country and Children💞Why Garden🙏💕🇺🇸🇺🇸😎,0
@user 👌🏻 I’ve never seen anyone talk like that on Twitter before and I’ve seen some really messed up shit,1
@user Thank you she is a gentle soul xxx😘😘😘❤️❤️❤️,0
@user Happy Birthday again Namjoon! thank you for always sharing your thoughts and feelings with us! you are a beautiful person with a beautiful mind and heart 💜✨ ♈️,0
@user ❤ You are beloved! ❤,0
@user @user Good luck 🤣  #MAGA #VoteRed,0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Great group I follow all except the top two because they don't follow back😉 Retweeted.,0
@user Bitch I’m in the hood serving junkies in a Maybach !!!! 😂😂,1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Keep it going let’s all remember VOTE!!! VOTE RED!! Let’s do the #MAGA for our 🇺🇸🇺🇸. 📣Yaay!! #MAGA!! 🇺🇸🇺🇸🇺🇸🗽🗽🗽💥💥💥🔥🔥🔥🌪🌪🌪🌪🌪🌪🌪🌪,0
@user @user PROUD OF YOU SWEET ❤️,0
@user Do you support our POTUS? (Please help by retweeting and following after voting!)  Long live USA😍 #MAGA,0
@user Happy 1stbirthday to Savage(Songs from a Broken World)! This time lst yr it dropped in my door and damn did it do some shit! 🎶 Little did we all know the ride it was going to take you and us as fans on. Thank you for this masterpiece! #garynuman #Savage #no2album,1
@user Ohhhhhh I cried BIG crocodile tears the first time my daddy called me a bitch😂 took it on the chin like a champ but ran to my room to cry just like a bitch💀,1
