Tweet,Label
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,1
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,1
I wonder is this is where Caitlyn gets his car services 🌚,0
"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉",1
No matter what color a girl is she still a ho 😂😂,1
#FactCheck 👍 #BoycottUnitedArlines #AidingAndAbetting #Felons #WeThePeople are FED UP #EnoughIsEnough #ICE #DHS #DOJ #WakeUpAmerica #StopTheInvasion,0
Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune,0
you know your women are stupid just like you're_ bitch please did i fuck you_ what importance do you have in my life_ are you retarded_ 😏🌹,1
How to Pronounce Whore Eyed Cunt ↺RT❤ #,0
"THIS WOMEN CAN DO ONLY ONE THINK, BACK INTO HER RAT🐀 HOLE NEVER TO COME OUT AGAIN🐀IF SHE SHOW UP ON SURFACE AM CALL…",1
Russia Liquidates Its US Treasury Holdings | Zero Hedge   No surprise here...,0
Never try to Holla at women who dissed you in his school I got called misogynistic egotistical whore monger damn bitch OK have a nice day 😂,0
U dont so why tweet it 😂😂 the only bitch u talk to is HELLLO ME TF WHORE 🙄😂,1
allies 10 year old brother is calling me a cunt and a bitch bc I asked him a question💀,0
"Disgusting , and bitch you are NO ROCK STAR !! YOU are a no class skank🤡😱🐍🙈🙉🙊👁",1
How retarded must you be to have a skank shave your legs 🤦🏻‍♀️ #jeremykyle,0
PREYING ON WOMEN IS A BITCH TENDENCY ‼️🗣,1
"@user MELISSA, YOU’RE HYSTERICAL. 😂 I AM GIVING YOU A HAPPY DANCE FOR TODAY🙌🏻",0
Aw 😍😘 I owe you a mustache ride!,0
Watch my snap story tonight it will be all over it 😇,0
"@user oh god, I can imagine that you’ll get even more men talking to you about some “not all men” “not me” bullshit 😤",0
So if your reading this and I know you are .. STOP HITTING ME UP YO DICK LIDDO AND NOW THE WORLD KNOWS 😭🤦🏽‍♀️,0
Good Morning Canada 🇨🇦 We will not let anyone harm you,0
@user I know fucker bitch i rode with you one time remember cunt whore? Never again will i fuck around with the fuck around 😂😂,1
Fist pumping a pimp through glass in prison 😂 yes sir @user you are the top boi 👏🏻,0
I woke up to the most hysterical message. “Wtf is @user in jail?” 😂😂😂 Nooo! You dumb bitch she’s in boot camp.,1
"if the temp is 50 degrees & up in the fall time🍂i will always wear shorts & booties. call me a slut, hoe, or whore idc🙂",0
You give me life!! 😘😘,0
The Home Office has put on hold plans to re patriate 240 Glasgow failed asylum seekers with a week to go its always bad news for Brits where migrants are concerned and a Pakistani Home Office Minister Sanjiv Javid it will never get better 😥,1
